variable,Dim.1,Dim.2
curricular_units_1st_sem_approved,15.551087660078295,0.1794024818264233
curricular_units_2nd_sem_approved,14.658049174121038,1.0370726645525035
curricular_units_2nd_sem_enrolled,12.617900423252317,2.808586473082832
curricular_units_1st_sem_enrolled,12.511631126489558,4.282251121803615
curricular_units_2nd_sem_grade,10.690924297321295,3.77851994410784
curricular_units_1st_sem_grade,10.689320156473855,2.7695359328762805
curricular_units_2nd_sem_evaluations,9.833017768898761,2.9634348092051095
curricular_units_1st_sem_evaluations,9.24358176635339,6.243028403378411
tuition_fees_up_to_date,1.3621282899960854,6.377193230139173
previous_qualification,0.9317293277243767,11.312722509828616
gender,0.8971394333367333,2.545831214574085
scholarship_holder,0.3991888628859484,5.298831572074908
debtor,0.28550083346849153,3.416850998172036
curricular_units_1st_sem_without_evaluations,0.10200711921398627,4.77043351751992
unemployment_rate,0.06411821631375564,0.17488727079723737
age_at_enrollment,0.05999531802947551,18.51513526874321
admission_grade,0.02593250974911359,1.461223647882658
daytime_evening_attendance,0.022320163902484796,5.9294164381896834
displaced,0.017859161147319152,7.8515494520950675
educational_special_needs,0.012796245966650667,0.12637750576327592
previous_qualification_grade,0.012485673342815964,2.224252978286846
curricular_units_2nd_sem_without_evaluations,0.006211887874744302,4.874301791376057
inflation_rate,0.004283039419861475,0.04536556204115549
gdp,5.352979901913668e-4,1.0129726257743445
international,2.562466495891688e-4,8.225859088778887e-4
