axe,eigenvalue,variance.percent,cumulative.variance.percent
Dim.1,5.4168418794602795,14.640113187730552,14.640113187730552
Dim.2,2.653717839244579,7.172210376336734,21.812323564067285
Dim.3,1.7132356829471125,4.630366710667893,26.442690274735178
Dim.4,1.6750057832847256,4.527042657526306,30.969732932261486
Dim.5,1.3734283729348065,3.711968575499494,34.68170150776098
Dim.6,1.145655131358485,3.0963652198878115,37.77806672764879
Dim.7,1.1193587711035637,3.025293975955592,40.80336070360438
Dim.8,1.0420163138184015,2.8162603076173145,43.619621011221696
Dim.9,1.028026126611446,2.778448990841759,46.398070002063456
Dim.10,1.0252560414398058,2.77096227416165,49.16903227622511
