term,odds_ratio,p.value,interpretation
(Intercept),13.222001906600335,1.2953637267528432e-4,Constante du modele.
age_at_enrollment,1.0506196240519288,1.222497541232102e-10,Variable associee a une probabilite plus elevee de Dropout dans ce modele.
admission_grade,0.9935778877155405,0.12826211203651844,Association non nette au seuil 5% dans ce modele.
previous_qualification_grade,0.9998084232476738,0.967614199799379,Association non nette au seuil 5% dans ce modele.
daytime_evening_attendance1,0.9452423647181383,0.747131310511202,Association non nette au seuil 5% dans ce modele.
debtorOui,1.736973431214513,9.704417564918794e-4,Variable associee a une probabilite plus elevee de Dropout dans ce modele.
tuition_fees_up_to_dateOui,0.11789312087592947,3.955842156900238e-31,Variable associee a une probabilite plus faible de Dropout dans ce modele.
genderHomme,1.4118079441762683,0.0010398348476111214,Variable associee a une probabilite plus elevee de Dropout dans ce modele.
scholarship_holderOui,0.4611971929686683,7.809199444881053e-8,Variable associee a une probabilite plus faible de Dropout dans ce modele.
displacedOui,1.1402773074364936,0.23945357708735146,Association non nette au seuil 5% dans ce modele.
curricular_units_1st_sem_evaluations,1.0954077967515785,2.5966641814057763e-6,Variable associee a une probabilite plus elevee de Dropout dans ce modele.
curricular_units_1st_sem_approved,1.0221985757354473,0.5867578356573612,Association non nette au seuil 5% dans ce modele.
curricular_units_1st_sem_grade,0.9842131121721956,0.44050108778404984,Association non nette au seuil 5% dans ce modele.
curricular_units_2nd_sem_evaluations,1.029117169539678,0.16038230484913368,Association non nette au seuil 5% dans ce modele.
curricular_units_2nd_sem_approved,0.6590113537502617,1.4925962925051914e-20,Variable associee a une probabilite plus faible de Dropout dans ce modele.
curricular_units_2nd_sem_grade,0.8895263052560124,2.9012447130248636e-8,Variable associee a une probabilite plus faible de Dropout dans ce modele.
