term,odds_ratio,std.error,statistic,p.value,ic_bas,ic_haut
(Intercept),41.60434070761462,0.5230942379447744,7.127213865717283,1.0242089150050265e-12,15.046474859385102,117.05410575370712
age_at_enrollment,1.0549309227683834,0.006732076510774692,7.943357246440507,1.967811374036536e-15,1.0411280992295409,1.068988045643508
admission_grade,0.9872098048572087,0.0034286072602368427,-3.7544964811188923,1.7369028504518258e-4,0.9805678821503209,0.9938413477259213
debtorOui,1.675269982388124,0.1650590279420503,3.1259988758979684,0.0017720222913386503,1.2100871226249332,2.3121281795553443
tuition_fees_up_to_dateOui,0.11362905016984158,0.18037939124528113,-12.056898889869977,1.7837353873918844e-33,0.07926478276006163,0.16087273066142901
scholarship_holderOui,0.4257486145062164,0.14063233298687033,-6.071905340338403,1.2640143845179287e-9,0.3218147608906322,0.5587540379986149
genderHomme,1.2719513089734966,0.10421553011876063,2.3082182166348417,0.02098700246975904,1.0363701845007094,1.559552845896706
displacedOui,1.0776971076970365,0.10861248900086765,0.688930504508615,0.49086700192131805,0.8715301241514295,1.3343393803690127
curricular_units_1st_sem_approved,1.0773264451031388,0.03967115023218152,1.8774968145957915,0.060450033514281125,0.9963487359202554,1.1641287883911557
curricular_units_1st_sem_grade,1.0188559324679025,0.020444579554028904,0.9137073671929697,0.3608706318463109,0.9794588970882468,1.0613101244043412
curricular_units_2nd_sem_approved,0.6484044050978476,0.04488354861372275,-9.652549959350374,4.794834266535254e-22,0.5934488587379878,0.7076753000847548
curricular_units_2nd_sem_grade,0.8976093624195511,0.020569273562983263,-5.251537611879121,1.5083472424689421e-7,0.8614844025605016,0.9339419380379438
