question_possible,reponse_courte,reponse_detaillee
Pourquoi FAMD alors que plusieurs variables sont integer ?,"Parce que le type statistique depend du sens de la variable, pas seulement de sa classe informatique.","Certaines variables peuvent etre codees par des entiers dans les donnees brutes tout en representant des categories, par exemple des statuts, formations ou modes de candidature. La FAMD permet de traiter ensemble des variables quantitatives et qualitatives apres preparation, ce qui correspond mieux a la nature mixte du jeu de donnees."
Pourquoi ne pas utiliser ACP ?,L'ACP seule est adaptee aux variables quantitatives continues.,"Une ACP imposerait de traiter les codes de categories comme des mesures numeriques ordonnees, ce qui serait trompeur pour les variables comme course, application_mode ou previous_qualification. La FAMD evite cette confusion en combinant la logique de l'ACP pour le quantitatif et de l'ACM pour le qualitatif."
Pourquoi ne pas utiliser ACM seulement ?,L'ACM seule est adaptee aux variables qualitatives.,"Le projet contient aussi des notes, ages, nombres d'unites, taux de chomage, inflation et PIB. Transformer toutes ces variables en classes ferait perdre de l'information numerique. La FAMD conserve mieux les deux types d'information."
Pourquoi Target est illustrative ?,Pour analyser la structure des profils sans laisser la cible construire les axes.,"La variable target sert a lire les groupes et les axes apres coup. Si elle etait active, les dimensions FAMD seraient orientees par la cible, ce qui rendrait moins neutre l'analyse exploratoire des profils et augmenterait le risque d'une interpretation circulaire."
Pourquoi les groupes se chevauchent dans la FAMD ?,Parce que Dim.1 et Dim.2 ne montrent qu'une partie de l'information.,"Les deux premiers axes cumulent 20.23% de l'inertie. Ils donnent une projection lisible, mais les individus restent decrits par plusieurs dimensions et par des variables mixtes. Un chevauchement visuel est donc normal."
Pourquoi faire le clustering sur les coordonnees FAMD ?,Pour regrouper les individus dans un espace factoriel comparable et denoise.,Les coordonnees FAMD synthetisent les variables actives en axes comparables. Le k-means travaille alors sur une representation numerique commune qui respecte mieux le melange quantitatif/qualitatif que les donnees brutes.
Pourquoi ne pas faire le clustering directement sur les donnees brutes ?,"Les donnees brutes melangent echelles, comptages, notes et categories.",Un clustering direct donnerait beaucoup de poids aux variables a grande variance ou aux codages arbitraires des categories. Les coordonnees FAMD reduisent ce probleme en placant les individus dans un espace commun issu de l'analyse factorielle.
Pourquoi tester plusieurs k ?,Parce que le nombre de clusters n'est pas connu a l'avance.,Le script 05 compare plusieurs valeurs de k avec le coude et la silhouette. Cette comparaison permet de documenter le choix technique au lieu de fixer arbitrairement un nombre de groupes.
Pourquoi k = 6 si la silhouette est moderee ?,"Parce que k = 6 est le meilleur k teste selon la silhouette moyenne, mais reste a interpreter prudemment.",La table existante recommande k = 6 selon la silhouette moyenne maximale (0.261). Une silhouette moderee indique que les profils ne sont pas totalement separes; le choix doit donc etre defendu avec les profils interpretes (6 profils documentes).
Que signifient les zeros dans les boxplots ?,"Ils peuvent representer une absence de note, d'unites approuvees ou d'evaluations selon la variable.","Les zeros ne doivent pas etre lus automatiquement comme des erreurs. Pour les notes, un zero peut correspondre a aucune performance academique observee; pour approved, a aucune unite approuvee; pour evaluations, a aucune evaluation. Les fichiers 08_audit_zeros_academiques.csv et 08_coherence_zeros_notes.csv quantifient ces cas par target."
La regression logistique est-elle causale ?,"Non, elle mesure des associations conditionnelles dans ce jeu de donnees.","La regression logistique estime des relations entre variables et probabilite de Dropout dans le cadre du modele, toutes choses egales par ailleurs dans les variables incluses. Elle ne prouve pas qu'une variable cause le decrochage, car il peut exister des facteurs non observes, des biais de selection ou des temporalites non controlees."
Le modele logistique est-il un modele de prediction precoce ?,"Pas strictement, car il utilise des variables academiques des semestres.","Le modele actuel inclut des informations comme les unites approuvees et les notes des premier et second semestres. Il sert donc surtout d'analyse complementaire et de prediction apres observation du parcours. Pour une prediction precoce, il faudrait limiter les variables a celles disponibles avant ou au tout debut de l'inscription. Accuracy observee dans la sortie existante : 0.858."
