modele,interpretation,term,odds_ratio,std.error,statistic,p.value,ic_bas,ic_haut
complet,Constante du modele.,(Intercept),13.222001906600335,0.6745894882999087,3.8273384004504547,1.2953637267528432e-4,3.545246562050645,49.97190675524083
complet,Variable associee a une probabilite plus elevee de Dropout dans ce modele.,age_at_enrollment,1.0506196240519288,0.00767187325281514,6.4365125225139135,1.222497541232102e-10,1.0349560416227104,1.066581908615458
complet,Association non nette au seuil 5% dans ce modele.,admission_grade,0.9935778877155405,0.004235937647373809,-1.520990935546508,0.12826211203651844,0.9853369637737971,1.0018411903648954
complet,Association non nette au seuil 5% dans ce modele.,previous_qualification_grade,0.9998084232476738,0.004719006071845694,-0.04060073298895101,0.967614199799379,0.9905961838271128,1.0090984187812702
complet,Association non nette au seuil 5% dans ce modele.,daytime_evening_attendance1,0.9452423647181383,0.1746578076069663,-0.3224242565604383,0.747131310511202,0.6721543371361687,1.3333761873489367
complet,Variable associee a une probabilite plus elevee de Dropout dans ce modele.,debtorOui,1.736973431214513,0.16736923245513882,3.298958734849817,9.704417564918794e-4,1.249612138216983,2.409355917964946
complet,Variable associee a une probabilite plus faible de Dropout dans ce modele.,tuition_fees_up_to_dateOui,0.11789312087592947,0.18425282633079407,-11.603495386339528,3.955842156900238e-31,0.08161392235828512,0.16817683752706536
complet,Variable associee a une probabilite plus elevee de Dropout dans ce modele.,genderHomme,1.4118079441762683,0.10515899025961302,3.2795209624605475,0.0010398348476111214,1.148391071975519,1.734540938012215
complet,Variable associee a une probabilite plus faible de Dropout dans ce modele.,scholarship_holderOui,0.4611971929686683,0.14408119033084016,-5.371482392623255,7.809199444881053e-8,0.3463089730108057,0.6094739198932466
complet,Association non nette au seuil 5% dans ce modele.,displacedOui,1.1402773074364936,0.11159185223701101,1.1763536703725128,0.23945357708735146,0.9168576735688909,1.420242618480096
complet,Variable associee a une probabilite plus elevee de Dropout dans ce modele.,curricular_units_1st_sem_evaluations,1.0954077967515785,0.01938705749238549,4.700388963046078,2.5966641814057763e-6,1.0546081458500645,1.1379491433246385
complet,Association non nette au seuil 5% dans ce modele.,curricular_units_1st_sem_approved,1.0221985757354473,0.04039401142638377,0.5435403230133543,0.5867578356573612,0.9441019727828404,1.106186160560225
complet,Association non nette au seuil 5% dans ce modele.,curricular_units_1st_sem_grade,0.9842131121721956,0.020629912667063394,-0.7713473258674036,0.44050108778404984,0.9456717223074627,1.025436451540284
complet,Association non nette au seuil 5% dans ce modele.,curricular_units_2nd_sem_evaluations,1.029117169539678,0.02044563671802026,1.403786937567744,0.16038230484913368,0.988586490121139,1.0711245625802035
complet,Variable associee a une probabilite plus faible de Dropout dans ce modele.,curricular_units_2nd_sem_approved,0.6590113537502617,0.04487150589497358,-9.293526204536604,1.4925962925051914e-20,0.6031258732148271,0.7191766445594621
complet,Variable associee a une probabilite plus faible de Dropout dans ce modele.,curricular_units_2nd_sem_grade,0.8895263052560124,0.021103297699688932,-5.54729411952177,2.9012447130248636e-8,0.8529225348824455,0.9265778832048502
